Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2015-06-10,10900.5,10918.0,10610.0,10705.0,10770.6,5270.0,572.48
2015-06-11,10666.0,10884.4,10666.0,10799.95,10786.3,9527.0,1028.04
2015-06-12,10778.0,10879.95,10450.0,10740.0,10601.05,4917.0,520.43
2015-06-15,10600.0,10645.4,10204.0,10470.0,10489.15,4783.0,501.36
2015-06-16,10384.0,10500.0,10201.05,10210.0,10227.95,7940.0,816.6
2015-06-17,10310.0,10797.95,10255.0,10680.0,10617.45,14035.0,1464.0
2015-06-18,10780.0,10989.0,10086.6,10711.0,10702.65,5626.0,601.99
2015-06-19,10580.0,11000.1,10580.0,10780.55,10863.3,18013.0,1959.95
2015-06-22,10950.0,11199.0,10800.0,11180.0,11014.9,13340.0,1464.22
2015-06-23,11050.15,11350.0,10826.85,10852.1,10933.85,13254.0,1475.11
2015-06-24,10945.05,11250.0,10810.5,10924.7,10923.0,10845.0,1183.91
2015-06-25,11080.0,11237.95,10900.0,10993.0,11030.45,11801.0,1300.8
2015-06-26,11075.0,11200.0,10910.0,11200.0,11031.6,20807.0,2292.0
2015-06-29,10925.0,11260.0,10800.05,11240.0,11123.1,15014.0,1659.4
2015-06-30,11199.1,11549.9,11150.0,11380.0,11341.05,21418.0,2422.3
2015-07-01,11340.0,11539.75,11282.7,11450.0,11392.65,16623.0,1896.66
2015-07-02,11449.45,11579.8,11100.0,11120.0,11148.65,8948.0,1007.48
2015-07-03,11200.0,11270.1,10859.95,10940.05,10925.35,11561.0,1273.41
2015-07-06,10860.0,11186.15,10759.0,11125.0,11079.25,5949.0,654.23
2015-07-07,11150.0,11235.0,10940.0,10940.0,10982.95,3132.0,346.7
2015-07-08,10955.0,11224.95,10905.05,11100.0,11095.85,7983.0,884.54
2015-07-09,11170.0,11199.0,10960.05,11105.2,11105.35,9846.0,1087.65
2015-07-10,11170.0,11170.0,10902.05,10970.0,10971.85,2676.0,295.07
2015-07-13,10971.05,11225.0,10971.0,11100.0,11185.95,3300.0,368.62
2015-07-14,11200.0,11242.2,11020.0,11135.3,11090.1,1391.0,155.15
2015-07-15,11149.95,11295.0,11070.0,11295.0,11244.9,41883.0,4663.66
2015-07-16,11290.0,11689.9,11266.4,11599.0,11575.65,11174.0,1289.72
2015-07-17,11550.95,11796.0,11505.5,11688.9,11687.25,4100.0,479.57
2015-07-20,11687.25,11718.85,11311.0,11325.0,11409.7,11509.0,1321.14
2015-07-21,11286.0,11490.0,11100.0,11260.0,11260.3,8980.0,1010.84
2015-07-22,11260.05,11298.95,10661.0,10797.0,10760.4,30031.0,3253.51
2015-07-23,10970.0,10970.0,10710.0,10811.0,10871.8,10835.0,1173.36
2015-07-24,10820.0,11099.9,10800.0,10960.0,10949.35,7917.0,867.07
2015-07-27,11000.0,11001.1,10755.0,10800.0,10785.65,6229.0,674.92
2015-07-28,10925.0,10925.0,10785.0,10825.0,10802.65,5526.0,597.28
2015-07-29,10969.95,11110.0,10802.0,11072.85,11054.1,10716.0,1185.54
2015-07-30,11110.0,11229.7,10900.0,11100.0,11023.35,9003.0,999.67
2015-07-31,10861.0,11500.0,10861.0,11500.0,11421.35,9668.0,1094.0
2015-08-03,11490.0,11770.0,11366.55,11420.0,11463.1,4821.0,557.7
2015-08-04,11463.0,11677.3,11260.0,11475.0,11477.05,6116.0,701.44
2015-08-05,11477.05,11798.95,11465.0,11700.0,11632.7,23279.0,2703.31
2015-08-06,11771.0,11800.0,11450.05,11450.05,11625.7,10153.0,1186.16
2015-08-07,11600.05,11600.8,11219.6,11315.0,11283.3,13269.0,1505.24
2015-08-10,11400.8,11472.45,11120.0,11305.0,11232.45,9152.0,1031.81
2015-08-11,11200.35,11439.85,11079.0,11220.0,11213.8,3592.0,402.25
2015-08-12,11345.0,11345.0,10825.0,11030.1,10961.15,7028.0,768.93
2015-08-13,11179.7,11179.7,10863.55,11000.0,10999.6,14929.0,1641.09
2015-08-14,11199.8,11199.8,10872.0,10900.0,10926.05,3218.0,353.26
2015-08-17,11072.6,11100.0,10601.0,10800.0,10930.8,5408.0,589.15
2015-08-18,10888.5,11144.8,10888.45,11144.8,11020.4,4234.0,464.98
2015-08-19,11099.85,11280.0,10968.05,11190.0,11204.95,3140.0,349.63
2015-08-20,11190.8,11400.0,10995.0,11010.0,11002.3,8614.0,955.86
2015-08-21,10922.65,11244.95,10922.65,11090.0,11077.85,8177.0,905.64
2015-08-24,10646.4,11087.35,10605.0,10999.9,10806.95,23184.0,2528.5
